N,Year,Title,Authors,Journal,Impact_factor_2019
5,2020,Espaces et nouvelles formes d’organisation du travail créatif,"Sophie Boutillier,Ignasi Capdevila,Laurent Dupont,Laure Morel",innovations - revue d’économie et de management de l'innovation,NA
6,2020,Collaborative spaces promoting creativity and innovation,"Sophie Boutillier,Ignasi Capdevila,Laurent Dupont,Laure Morel",journal of innovation economics & management,NA
7,2020,Analysis and Improvement of an Innovative Solution Through Risk Reduction: Application to Home Care for the Elderly,"Linda Acosta Salgado,Auguste Rakotondranaivo,Eric Bonjour","advances in science, technology and engineering systems journal",NA
8,2020,"Shaping a Public Innovation Laboratory in Bogota: Learning through Time\, Space and Stakeholders","Ferney Osorio,Laurent Dupont,Mauricio Camargo,Carlos Sandoval,José Ismael Peña",journal of innovation economics & management,NA
9,2020,Towards smart and suitable management of roadsides: System dynamics in the era of industry 4.0,"Sandra Baustista Rodriguez,Brunelle Marche,Fatima Ezzahra Hamdani,Mauricio Camargo,Frédérique Mayer,Davy Monticolo,Christophe Bachmann",sustainable operations and computers,NA
11,2020,Characterization of Best Practices for Customer/Supplier Collaboration in Co-innovation Projects,"Carlos Abraham Moya,Vincent Boly,Laure Morel,Daniel Galvez,Mauricio Camargo",journal of technology management and innovation,NA
12,2020,Towards an improved acceptability assessment model of innovative solutions in the design phase,"Linda Acosta Salgado,Auguste Rakotondranaivo,Eric Bonjour",international journal of business information systems,NA
13,2020,Digitalization and SMEs’ Export Management: Impacts on Resources and Capabilities,"Benjamin Dethine,Manon Enjolras,Davy Monticolo",technology innovation management review,NA
14,2020,How do Institutions Promote Digital Marketing in Small and Medium International Companies: Comparison between Costa Rica and France,"Karen Victoria Herrera Carpio,Susan Arce,Manon Enjolras,Mauricio Camargo",technology innovation management review,NA
15,2020,Innovation et agilité - identification de stratégies de déploiement pour le développement des PME,"Laurent Muller,Carlos Moya,Mauricio Carmago,Stéphane Gouttes",projectics / proyéctica / projectique,NA
18,2020,Evaluating Innovation and Export Capabilities of SMEs: Toward a Multi-Criteria Decision-Making Methodology,"Manon Enjolras,Mauricio Camargo,Christophe Schmitt",journal of technology management and innovation,NA
