Url;Title;Authors;Type.document;DOI;Year;Journal;Publisher;Conference;Language
https://hal.univ-lorraine.fr/hal-01895198;Le Lean au service de la performance : application de la démarche DMAIC pour la restructuration d’un service de pédiatrie;Audrey Janus,Auguste Rakotondranaivo,Laurence Bolardi;COMM;;2018;;;9ème conférence francophone en Gestion et Ingénierie des Systèmes Hospitaliers - GISEH;fr
https://hal.univ-lorraine.fr/hal-01915689;Assisting Urban Planning Practitioners Facing UHI and Related Vulnerability Issues with a Co-Designed Tool : DIACLIMAP Project;Julien Bouyer,François E. Leconte,Rémy Claverie,Adrien Ferry,Rémi Pierrat,Géraldine Bur,Dominique Hebrard,Pierre Lainé,Benjamin Piccinnini,Philippe Jary,Laëtitia Boithias,Laurent Dupont,Olivier Chery;COMM;;2018;;;10th International Conference on Urban Climate/14th Symposium on the Urban Environment;en
https://hal.archives-ouvertes.fr/hal-01868686;Incorporation of Heuristic Knowledge in the Optimal Design of Formulated Products: Application to a Cosmetic Emulsion;Javier Arrieta-Escobar,Fernando Bernardo,Alvaro Orjuela,Mauricio Camargo,Laure Morel;ART;10.1016/j.compchemeng.2018.08.032;2018;Computers and Chemical Engineering;Elsevier;;en
https://hal.univ-lorraine.fr/hal-01796613;Multi-objective traffic signal optimization using 3D mesoscopic simulation and evolutionary algorithms;Adriana Simona Mihăiţă,Laurent Dupont,Mauricio Camargo;ART;10.1016/j.simpat.2018.05.005;2018;Simulation Modelling Practice and Theory;Elsevier;;en
https://hal.archives-ouvertes.fr/hal-02568260;Livrable 1 - projet DHDA – Des Hommes et Des Arbres\, les racines de demain Lauréat de l’AMI Territoire Innovant de Grande Ambition (TIGA) étude 8 La Fabrique DHDA (mise en œuvre du mode Living Lab);Claudine Guidat,Laurent Dupont,Mathieu Ruillet;REPORT;;2018;;;;fr
https://hal.archives-ouvertes.fr/hal-01863819;3D-Printing Based Distributed Plastic Recycling: A Conceptual Model for Closed-Loop Supply Chain Design;Santander Pavlo,Cruz Fabio,Boudaoud Hakim,Camargo Mauricio;COMM;10.1109/ICE.2018.8436296;2018;;;2018 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC);en
https://hal.univ-lorraine.fr/hal-01858370;Modelling\, Printing and Validation of Dental Dry Models for Implantology Skills Training;Ramses Albuquerque,Giovanny Arbelaez,Fabio Cruz,Mauricio Camargo,David Joseph,Nguyen Tran;COMM;10.1109/ICE.2018.8436302;2018;;;2018 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC);en
https://hal.archives-ouvertes.fr/hal-02025863;Sustainable Management of Roadside: Towards a Research Agenda;Sandra Cecilia Sandra Cecilia,Mauricio Camargo Pardo,Laure Morel,Christophe Bachmann;COMM;10.1109/ICE.2018.8436326;2018;;;2018 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC);en
https://hal.univ-lorraine.fr/hal-01841822;Exploring the notion of situation for responsive manufacturing systems specification issues;Frédérique Mayer;COMM;;2018;;;16th IFAC INCOM;en
https://hal.archives-ouvertes.fr/hal-01885250;Implementing of Project-Based and Skill Assessment Pedagogy in Mechatronics Course;Alaa Hassan,Valerie Rault,Patrick Truchot;COMM;10.1109/REM.2018.8421771;2018;;;2018 19th International Conference on Research and Education in Mechatronics (REM);en
https://hal.univ-lorraine.fr/hal-02789494;INNOVATION MANAGEMENT PRINCIPLES FROM ISO 50500 SERIES;Alice de Casanove,Laure Morel;COMM;;2018;;;International Association for Management of Technology IAMOT 2018;en
https://hal.univ-lorraine.fr/hal-01868811;A Universal Framework For Systemizing the Evaluation of Immersive And Collaborative Performance;Laurent Dupont,Marc Pallot,Olivier Christmann,Simon Richir;COMM;10.1145/3234253.3234306;2018;;;VRIC '18: Virtual Reality International Conference - Laval Virtual;en
https://hal.archives-ouvertes.fr/hal-01837932;Firm Readiness Level for Innovation Projects: A New Decision-Making Tool for Innovation Managers;Daniel Galvez,Manon Enjolras,Mauricio Camargo,Vincent Boly,Johan Claire;ART;10.3390/admsci8010006;2018;International Review of Administrative Sciences;SAGE Publications;;en
https://hal.univ-lorraine.fr/hal-01812007;Contribution to the objective assessment of technical skills for surgery students: An accelerometer based approach;Giovanny Arbelaez Garces,David Joseph,Mauricio Camargo,Nguyen Tran,Laure Morel;ART;10.1016/j.ergon.2017.12.002;2018;International Journal of Industrial Ergonomics;Elsevier;;en
https://hal.inria.fr/hal-01699590v2;A Semantic Approach to Manage Ideas in an Innovation Process;Pedro Chavez Barrios\, Davy Monticolo\, Sahbi Sidhom,Davy Monticolo,Sahbi Sidhom;POSTER;;2018;;;SÉMINAIRE DE L'ÉCOLE DOCTORALE RP2E : 13 Février 2018;en
https://hal.archives-ouvertes.fr/hal-02157341;Vers une meilleure compréhension du concept de design,Towards a Better Understanding of the Concept of Design,Hacia una mejor comprensión del concepto de diseño;Linda Acosta Salgado,Laure Morel,Isabelle Verilhac;ART;10.3917/proj.020.0091;2018;Projectics / Proyéctica / Projectique;De Boeck Supérieur;;fr
