uri_s,title_s,authFullName_s,docType_s,doiId_s,publicationDateY_i,producedDate_s,journalTitle_s,journalPublisher_s,conferenceTitle_s,language_s
https://hal.univ-lorraine.fr/hal-01522505,A meta-model for knowledge configuration management to support collaborative engineering,"Davy Monticolo,Julien Badin,Samuel Gomes,Eric Bonjour,Dominique Chamoret",ART,10.1016/j.compind.2014.08.001,2015,2015-01,Computers in Industry,Elsevier,,en
https://hal.univ-lorraine.fr/hal-01838432,Modeling and design optimization of a robot gripper mechanism,"Alaa Hassan,Mouhammad Abomoharam",ART,10.1016/j.rcim.2016.12.012,2017,2017-08,Robotics and Computer-Integrated Manufacturing,Elsevier,,en
https://hal.univ-lorraine.fr/hal-02140166,Design and Multicriteria Optimization of a Two-Stage Reactive Extrusion Process for the Synthesis of Thermoplastic Polyurethanes,"Sandrine Hoppe,Dimitrios Meimaroglou,Mauricio Camargo,Christian Fonteix,Fernand Pla",ART,10.4236/eng.2012.49065,2012,2012,Engineering,Scientific Research,,en
https://hal.archives-ouvertes.fr/hal-01868686,Incorporation of Heuristic Knowledge in the Optimal Design of Formulated Products: Application to a Cosmetic Emulsion,"Javier Arrieta-Escobar,Fernando Bernardo,Alvaro Orjuela,Mauricio Camargo,Laure Morel",ART,10.1016/j.compchemeng.2018.08.032,2018,2018-08,Computers and Chemical Engineering,Elsevier,,en
https://hal.univ-lorraine.fr/hal-03047053,SIIE'2019 PROCEEDINGS 8th. Edition of the International Conference on: “Information Systems and Economic Intelligence”.,"Sahbi Sidhom,Davy Monticolo,Habib Sidhom",DOUV,,2019,2019-12-25,,,International Conference on “Information Systems and Economic Intelligence”: 8th. Edition.,en
https://hal.archives-ouvertes.fr/hal-01166679,EVALUATING THE IMPACT OF THE TRAFFIC RECONFIGURATION OF A COMPLEX URBAN INTERSECTION,"Adriana Simona Mihaita,Mauricio Camargo,Pascal Lhoste",COMM,,2014,2014-11-05,,,"MOSIM 2014, 10ème Conférence Francophone de Modélisation, Optimisation et Simulation",en
https://hal.archives-ouvertes.fr/hal-00842017,"Biodiesel production in a counter-current reactive extraction column: modelling\, parametric identification and optimisation","Juan Guillermo Cadavid,Rubén Dario Godoy-Silva,Paulo Narvaez,Mauricio Camargo,Christian Fonteix",ART,10.1016/j.cej.2013.05.040,2013,2013-07-15,Chemical Engineering Journal,Elsevier,,en
https://hal.univ-lorraine.fr/hal-01629305,Modeling and optimization of a photocatalytic process: Degradation of endocrine disruptor compounds by Ag/ZnO,"Alma Berenice Jasso-Salcedo,Sandrine Hoppe,Fernand Pla,Vladimir Alonso Escobar-Barrios,Mauricio Camargo,Dimitrios Meimaroglou",ART,10.1016/j.cherd.2017.10.012,2017,2017-12,Chemical Engineering Research and Design,Elsevier,,en
https://hal.archives-ouvertes.fr/hal-01839033,Multi-criteria decision analysis for the selection of sustainable chemical process routes during early design stages,"Juliana Serna,Esneider Díaz Martinez,Paulo Narváez Rincón,Mauricio Camargo,Daniel Galvez,Elvaro Orjuela",ART,10.1016/j.cherd.2016.07.001,2016,2016-09,Chemical Engineering Research and Design,Elsevier,,en
https://hal.archives-ouvertes.fr/hal-01666762,The first ROBAFIS-ROBSE international student competition in Systems Engineering,"Jean-Claude Tucoulou,Eric Bonjour,David Gouyon",ART,10.1002/inst.12181,2017,2017-12,INSIGHT - International Council on Systems Engineering (INCOSE),Wiley,,en
https://hal.archives-ouvertes.fr/hal-02281238,Clustering alternative product formulations using graphs,"Fernando Bernardo,Javier Arrieta-Escobar",COUV,,2019,2019,,,,en
