"","Year","Title","Journal","QScimago","IF2010","IF2011","IF2012","IF2013","IF2014","IF2015","IF2016","IF2017","IF2018","IF2019","IF2020","IF2021","IF2022","Impact.Factor","IF"
"99",2018,"A system dynamics approach for sustainability assessment of biodiesel production in Colombia. Baseline simulation","journal of cleaner production","Q1",2.43,2.727,3.398,3.59,3.844,4.959,5.715,5.651,6.395,7.246,9.297,11.072,11.1,6.395,"Avec FI"
"100",2018,"Trends in design of distributed energy systems using hydrogen as energy vector: A systematic literature review","international journal of hydrogen energy","Q1",4.057,4.054,3.548,2.93,3.313,3.205,3.582,4.229,4.084,4.939,5.816,7.139,7.2,4.084,"Avec FI"
"101",2018,"Multi-objective traffic signal optimization using 3D mesoscopic simulation and evolutionary algorithms","simulation modelling practice and theory","Q1",0.736,0.969,1.159,1.05,1.383,1.482,1.954,2.092,2.426,2.219,3.272,4.199,4.2,2.426,"Avec FI"
"102",2018,"Incorporation of Heuristic Knowledge in the Optimal Design of Formulated Products: Application to a Cosmetic Emulsion","computers & chemical engineering",NA,2.072,2.32,2.091,2.452,2.784,2.581,3.024,3.113,3.334,4,3.845,4.13,4.3,3.334,"Avec FI"
"103",2018,"Une approche de conception de systèmes multi-agents dédiés à la gestion des connaissances","revue des sciences et technologies de l'information - série isi : ingénierie des systèmes d'information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"104",2018,"Firm Readiness Level for Innovation Projects: A New Decision-Making Tool for Innovation Managers","international review of administrative sciences","Q1",0.848,0.783,0.559,0.765,0.658,0.716,1.35,1.988,2.174,2.129,3.094,2.397,2.3,2.174,"Avec FI"
"105",2018,"Contribution to the objective assessment of technical skills for surgery students: An accelerometer based approach","international journal of industrial ergonomics","Q2",1.322,1.26,1.208,1.214,1.07,1,1.415,1.429,1.571,1.662,2.656,2.884,3.1,1.571,"Avec FI"
"106",2018,"L’indice d’innovation potentielle (IIP) : un diagnostic de la capacité à innover au service des PME","revue internationale pme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"107",2018,"Vers une meilleure compréhension du concept de design,Towards a Better Understanding of the Concept of Design,Hacia una mejor comprensión del concepto de diseño","projectics / proyéctica / projectique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"108",2018,"Predicting Air Quality by Integrating a Mesoscopic Traffic Simulation Model and Simplified Air Pollutant Estimation Models","international journal of intelligent transportation systems research","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"109",2017,"Modeling and optimization of a photocatalytic process: Degradation of endocrine disruptor compounds by Ag/ZnO","chemical engineering research & design","Q2",1.519,1.968,1.927,2.281,2.348,2.525,2.538,2.795,3.073,3.35,3.739,4.119,3.9,2.795,"Avec FI"
"110",2017,"The first ROBAFIS-ROBSE international student competition in Systems Engineering","insight - international council on systems engineering (incose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"111",2017,"Overview of phenomena occurring in supply chains during the emergence of innovation","supply chain forum: an international journal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"112",2017,"Exploring Mixed-methods Instruments for Performance Evaluation of Immersive Collaborative Environments","international journal of virtual reality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"113",2017,"Modeling and design optimization of a robot gripper mechanism","robotics and computer-integrated manufacturing","Q1",1.254,1.173,1.23,1.839,2.305,2.077,2.846,3.464,4.392,5.057,5.666,10.103,10.4,3.464,"Avec FI"
"114",2017,"A new fuzzy logic-based metric to measure lean warehousing performance","supply chain forum: an international journal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"115",2017,"The effect of learning approaches on the utilization of external knowledge in strategic alliances","industrial marketing management","Q1",1.694,1.53,1.933,1.897,1.82,1.93,3.166,3.678,4.779,4.695,6.96,8.89,10.3,3.678,"Avec FI"
"116",2017,"Key challenges and requirements for sustainable and industrialized biorefinery supply chain design and management: A bibliographic analysis","renewable & sustainable energy reviews","Q1",4.595,6.018,5.627,5.51,5.901,6.798,8.05,9.184,10.556,12.11,14.982,16.799,15.9,9.184,"Avec FI"
"117",2017,"Polymer recycling in an open-source additive manufacturing context: Mechanical issues","additive manufacturing","Q1",NA,NA,NA,NA,NA,NA,NA,NA,7.173,7.002,10.998,11.632,11,NA,"No FI"
"118",2017,"Sustainability assessment to support governmental biodiesel policy in Colombia: A system dynamics model","journal of cleaner production","Q1",2.43,2.727,3.398,3.59,3.844,4.959,5.715,5.651,6.395,7.246,9.297,11.072,11.1,5.651,"Avec FI"
"119",2016,"Frugal Innovation or Frugal Renovation: How can Western Designers adopt Frugal Engineering?","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
